,spread,price_std,transactions_mean,transactions_sum,volume_mean,volume_sum,tick_size,params_id,seed
169,0.009512,0.009049,102.932806,26042,198.667984,50263,0.5,892,33
170,0.003233,0.008624,100.166008,25342,182.675889,46217,0.01,682,34
171,0.003773,0.004865,101.84585,25767,187.351779,47400,0.05,687,34
172,0.003783,0.007433,102.098814,25831,198.486166,50217,0.1,848,34
173,0.005722,0.008055,101.363636,25645,182.343874,46133,0.2,512,34
174,0.006901,0.006058,96.873518,24509,180.727273,45724,0.5,892,34
175,0.003467,0.014891,98.565217,24937,175.158103,44315,0.01,682,35
176,0.003611,0.007881,99.035573,25056,173.399209,43870,0.05,687,35
177,0.004235,0.006344,99.177866,25092,184.573123,46697,0.1,848,35
178,0.006161,0.022569,102.43083,25915,177.695652,44957,0.2,512,35
179,0.00693,0.011857,98.086957,24816,183.86166,46517,0.5,892,35
180,0.003102,0.006954,102.055336,25820,193.747036,49018,0.01,682,36
181,0.00395,0.008126,99.932806,25283,181.754941,45984,0.05,687,36
182,0.003735,0.008484,101.458498,25669,189.901186,48045,0.1,848,36
183,0.004595,0.006643,99.288538,25120,175.383399,44372,0.2,512,36
184,0.006899,0.007835,95.063241,24051,176.482213,44650,0.5,892,36
185,0.004559,0.011463,101.699605,25730,179.798419,45489,0.01,682,37
186,0.003813,0.011786,100.189723,25348,191.312253,48402,0.05,687,37
187,0.003679,0.006476,100.3083,25378,201.869565,51073,0.1,848,37
188,0.004567,0.007598,98.837945,25006,172.964427,43760,0.2,512,37
189,0.002914,0.01645,95.782609,24233,189.853755,48033,0.5,892,37
190,0.004624,0.01143,102.288538,25879,190.711462,48250,0.01,682,38
191,0.003802,0.009314,98.490119,24918,171.071146,43281,0.05,687,38
192,0.004123,0.006747,100.249012,25363,186.083004,47079,0.1,848,38
193,0.005514,0.008714,99.802372,25250,181.541502,45930,0.2,512,38
194,0.006912,0.015082,94.924901,24016,178.980237,45282,0.5,892,38
195,0.002846,0.011289,95.063241,24051,159.233202,40286,0.01,682,39
196,0.003461,0.010464,101.849802,25768,188.557312,47705,0.05,687,39
197,0.00408,0.00968,101.225296,25610,190.541502,48207,0.1,848,39
198,0.004608,0.008451,95.304348,24112,165.774704,41941,0.2,512,39
199,0.007154,0.008792,97.347826,24629,182.086957,46068,0.5,892,39
200,0.003048,0.006789,100.920949,25533,181.486166,45916,0.01,682,40
201,0.003388,0.014627,100.810277,25505,188.13834,47599,0.05,687,40
202,0.003795,0.007033,99.509881,25176,179.770751,45482,0.1,848,40
